Timestamp,Temperature (°C),Humidity (%),Area planted (ha),Fertilizer Type,Soil type,Growth stage,Fertilizer Quantity (kg/ha),Application Timing (weeks)
2024-11-12,27.0,48.1,3.01,Urea,loamy,Vegetative,54.04,3
2024-11-12,21.2,66.6,3.62,NPK 15-15-15,Silty,Germination,25.06,2
2024-11-13,20.2,45.1,2.36,Organic Compost,Loamy,Harvesting,22.98,5
2024-11-13,20.9,64.8,0.41,NPK 15-15-15,Sandy,Harvesting,6.42,2
2024-11-13,20.6,74.6,0.45,Organic Compost,Sandy,Fruiting,12.19,2
2024-11-13,20.4,49.1,3.19,Organic Compost,Loamy,Fruiting,92.36,4
2024-11-13,18.1,79.7,1.34,Potash,Silty,Fruiting,38.55,1
2024-11-13,18.1,79.7,1.53,Urea,loamy,Vegetative,25.33,2
2024-11-13,24.3,46.5,0.36,Potash,loamy,Flowering,8.56,1
2024-11-13,25.5,48.0,3.43,Potash,loamy,Harvesting,33.09,2
2024-11-14,31.5,56.2,0.37,Organic Compost,Sandy,Flowering,12.21,1
2024-11-14,33.2,42.9,2.46,Urea,Sandy,Flowering,62.65,5
2024-11-14,21.8,42.6,2.94,Urea,loamy,Germination,21.57,5
2024-11-14,35.8,52.9,3.12,Organic Compost,Sandy,Harvesting,29.03,5
2024-11-14,20.3,65.3,2.69,Urea,Silty,Fruiting,79.82,5
2024-11-14,23.2,48.7,0.77,DAP,Loamy,Vegetative,16.16,4
2024-11-14,24.0,65.2,3.26,Urea,Clay,Flowering,81.18,1
2024-11-14,27.1,54.6,0.23,Urea,Sandy,Flowering,5.67,5
2024-11-15,18.5,47.9,1.79,Organic Compost,Silty,Fruiting,53.84,2
2024-11-15,29.3,80.1,2.78,Organic Compost,Silty,Fruiting,83.13,1
2024-11-15,23.4,72.6,1.71,Potash,Loamy,Vegetative,31.74,3
2024-11-15,34.0,55.9,4.85,Organic Compost,Loamy,Flowering,125.62,5
2024-11-15,28.3,57.5,3.06,Organic Compost,Sandy,Germination,21.16,1
2024-11-15,22.3,60.3,4.76,NPK 15-15-15,loamy,Flowering,118.5,3
2024-11-15,32.0,81.1,2.33,Urea,Silty,Harvesting,19.39,3
2024-11-15,31.2,63.6,3.92,NPK 15-15-15,Loamy,Harvesting,36.84,2
2024-11-16,18.7,57.4,4.35,Urea,Loamy,Flowering,112.71,5
2024-11-16,24.0,80.0,0.69,Urea,Sandy,Germination,5.93,3
2024-11-16,21.8,49.0,1.58,Potash,Sandy,Fruiting,47.03,3
2024-11-16,22.9,40.7,3.19,Potash,Loamy,Vegetative,58.18,5
2024-11-16,20.5,71.7,1.56,NPK 15-15-15,Clay,Germination,10.6,3
2024-11-16,18.9,41.3,4.54,Urea,Loamy,Fruiting,128.57,4
2024-11-16,30.7,80.1,3.22,Urea,Silty,Harvesting,28.61,3
2024-11-16,30.8,70.2,2.76,DAP,loamy,Vegetative,47.74,4
2024-11-17,23.6,69.0,3.88,DAP,Clay,Vegetative,68.2,5
2024-11-17,24.5,48.3,4.6,Organic Compost,Sandy,Fruiting,132.91,1
2024-11-17,24.3,60.8,1.02,Organic Compost,loamy,Harvesting,7.44,1
2024-11-17,30.9,44.8,2.87,Urea,Sandy,Harvesting,26.1,5
2024-11-17,29.2,64.7,4.87,DAP,Loamy,Flowering,121.47,5
2024-11-17,35.6,65.5,1.84,Urea,Clay,Vegetative,34.6,1
2024-11-17,30.8,77.7,0.75,Potash,Silty,Flowering,19.73,4
2024-11-17,35.2,43.1,0.72,Potash,Silty,Flowering,18.61,1
2024-11-18,32.7,79.9,4.54,Urea,Loamy,Vegetative,83.19,4
2024-11-18,25.0,66.0,1.14,Urea,Sandy,Flowering,29.65,3
2024-11-18,34.9,72.3,4.59,Urea,loamy,Germination,34.22,5
2024-11-18,20.3,53.2,1.97,Potash,Loamy,Germination,15.9,3
2024-11-18,23.1,41.4,2.27,Potash,Silty,Flowering,58.97,4
2024-11-18,27.8,69.8,2.48,NPK 15-15-15,loamy,Fruiting,73.98,3
2024-11-18,20.8,84.9,3.42,NPK 15-15-15,Loamy,Germination,26.01,2
2024-11-18,26.8,59.7,4.95,Urea,Clay,Fruiting,145.22,5
2024-11-19,29.2,60.4,2.24,DAP,Silty,Flowering,55.3,4
2024-11-19,28.4,78.1,1.34,Potash,Sandy,Fruiting,41.65,5
2024-11-19,35.6,65.6,3.58,Urea,loamy,Fruiting,106.37,1
2024-11-19,31.2,84.3,4.92,Organic Compost,Silty,Harvesting,42.25,5
2024-11-19,26.5,73.4,4.81,Urea,loamy,Harvesting,42.66,1
2024-11-19,27.6,40.5,2.38,DAP,loamy,Flowering,60.0,3
2024-11-19,18.6,81.5,3.8,Urea,loamy,Flowering,93.63,4
2024-11-19,28.3,69.5,1.6,Urea,loamy,Germination,10.74,1
2024-11-20,19.4,75.3,1.41,Potash,Sandy,Flowering,38.18,1
2024-11-20,28.9,81.0,3.75,Urea,Silty,Flowering,96.85,3
2024-11-20,22.3,48.1,2.73,Urea,Sandy,Germination,22.96,5
2024-11-20,20.8,62.3,4.97,DAP,Clay,Fruiting,144.99,2
2024-11-20,31.2,55.5,3.28,Urea,Loamy,Vegetative,59.32,4
2024-11-20,31.4,73.9,2.76,DAP,Silty,Fruiting,78.56,5
2024-11-20,18.2,81.7,2.35,Urea,Sandy,Harvesting,22.75,1
2024-11-20,27.6,55.9,4.25,Potash,Sandy,Flowering,106.22,1
2024-11-21,28.5,60.7,3.44,NPK 15-15-15,loamy,Vegetative,62.54,2
2024-11-21,18.2,40.4,0.53,DAP,Loamy,Harvesting,2.89,4
2024-11-21,31.1,51.3,0.36,Potash,Loamy,Germination,5.72,2
2024-11-21,29.5,71.9,0.78,Potash,Clay,Fruiting,23.9,5
2024-11-21,21.3,45.0,1.08,Organic Compost,Silty,Germination,9.11,3
2024-11-21,30.5,70.0,3.9,Organic Compost,Clay,Germination,27.24,1
2024-11-21,24.0,42.7,4.79,Organic Compost,Clay,Fruiting,135.87,2
2024-11-21,21.2,62.1,0.89,DAP,Clay,Harvesting,9.37,4
2024-11-22,19.9,43.3,2.94,Organic Compost,Silty,Germination,24.05,2
2024-11-22,18.0,41.7,2.07,NPK 15-15-15,Sandy,Fruiting,60.56,5
2024-11-22,31.9,61.5,2.14,Urea,Loamy,Harvesting,18.12,4
2024-11-22,32.7,61.7,2.92,Organic Compost,Sandy,Flowering,73.49,1
2024-11-22,33.4,55.3,4.24,Organic Compost,Clay,Vegetative,77.15,4
2024-11-22,23.4,57.6,0.71,Urea,Sandy,Fruiting,18.46,4
2024-11-22,20.5,48.7,3.65,Potash,Clay,Fruiting,104.95,5
2024-11-22,27.0,83.4,4.1,Urea,Loamy,Flowering,101.16,1
2024-11-23,21.8,69.4,2.71,Urea,loamy,Vegetative,50.73,2
2024-11-23,18.7,,3.34,DAP,loamy,Germination,23.0,2
2024-11-23,29.4,80.7,4.14,Urea,Silty,Harvesting,35.78,5
2024-11-23,32.7,45.1,3.06,Potash,Clay,Germination,24.36,4
2024-11-23,33.0,73.2,2.13,Urea,loamy,Harvesting,17.49,2
2024-11-23,28.7,55.1,0.78,NPK 15-15-15,Silty,Vegetative,15.72,5
2024-11-23,22.4,66.2,0.84,Urea,loamy,Fruiting,26.36,1
2024-11-23,19.5,40.3,4.65,Urea,loamy,Flowering,117.18,4
2024-11-24,21.7,68.8,2.71,DAP,Clay,Vegetative,49.94,1
2024-11-24,30.9,67.5,0.62,Organic Compost,Sandy,Fruiting,15.38,2
2024-11-24,35.8,84.0,3.17,Potash,loamy,Vegetative,57.35,2
2024-11-24,21.5,75.8,3.49,DAP,Silty,Vegetative,61.28,1
2024-11-24,24.6,49.4,1.41,Potash,Silty,Germination,8.28,1
2024-11-24,21.2,75.3,2.53,Urea,Loamy,Vegetative,47.37,5
2024-11-24,25.5,73.6,4.51,NPK 15-15-15,Loamy,Flowering,112.52,2
2024-11-24,33.7,56.9,1.26,DAP,loamy,Fruiting,34.11,4
2024-11-25,34.7,60.5,2.06,NPK 15-15-15,Silty,Vegetative,38.37,3
2024-11-25,20.3,71.1,0.49,NPK 15-15-15,Loamy,Fruiting,14.36,2
2024-11-25,22.0,53.3,0.95,Urea,loamy,Vegetative,18.07,5
2024-11-25,19.6,,2.55,NPK 15-15-15,loamy,Fruiting,75.96,3
2024-11-25,25.7,79.3,1.39,DAP,loamy,Vegetative,27.87,5
2024-11-25,34.4,80.4,2.21,Urea,Loamy,Fruiting,65.55,5
2024-11-25,27.6,61.6,4.03,Urea,Silty,Fruiting,115.01,5
2024-11-25,30.5,,1.25,Organic Compost,Sandy,Vegetative,23.89,1
2024-11-26,30.0,47.3,2.4,Potash,loamy,Germination,20.64,4
2024-11-26,33.7,58.2,3.99,Organic Compost,Silty,Germination,31.39,1
2024-11-26,30.4,63.9,1.62,Organic Compost,loamy,Harvesting,15.53,2
2024-11-26,19.5,79.6,3.73,Urea,loamy,Flowering,96.82,1
2024-11-26,26.4,41.8,1.96,Urea,loamy,Germination,14.98,2
2024-11-26,24.0,64.3,3.32,Urea,loamy,Vegetative,61.78,2
2024-11-26,34.2,62.7,2.23,Urea,Loamy,Flowering,55.77,4
2024-11-26,32.9,61.2,2.75,Potash,Sandy,Fruiting,80.43,1
2024-11-27,33.9,43.9,2.08,NPK 15-15-15,Sandy,Germination,13.13,3
2024-11-27,20.7,46.8,1.18,Urea,Loamy,Flowering,29.74,5
2024-11-27,26.5,58.9,3.74,Urea,Sandy,Vegetative,65.2,2
2024-11-27,27.4,55.1,2.98,Urea,Sandy,Fruiting,86.88,5
2024-11-27,26.0,53.7,0.83,Organic Compost,Clay,Flowering,19.78,3
2024-11-27,31.9,42.1,1.89,DAP,Clay,Harvesting,20.05,5
2024-11-27,35.5,77.8,3.53,Urea,Clay,Vegetative,62.47,1
2024-11-27,28.3,59.8,1.97,NPK 15-15-15,loamy,Germination,15.68,3
2024-11-28,26.1,83.9,2.76,Urea,Loamy,Fruiting,82.57,2
2024-11-28,34.7,47.0,4.86,Potash,loamy,Flowering,123.86,3
2024-11-28,23.2,82.5,4.91,Potash,Clay,Harvesting,46.06,4
2024-11-28,20.0,61.6,0.39,Urea,loamy,Germination,2.16,4
2024-11-28,22.0,56.1,1.77,Potash,Clay,Harvesting,16.59,3
2024-11-28,19.5,78.2,3.45,Urea,loamy,Fruiting,98.03,3
2024-11-28,27.2,,3.4,DAP,Clay,Fruiting,97.64,3
2024-11-28,24.2,53.9,2.34,Potash,Loamy,Vegetative,43.99,4
2024-11-29,25.5,59.9,0.99,Urea,Silty,Fruiting,26.85,5
2024-11-29,20.6,53.6,4.94,Potash,Sandy,Germination,38.67,5
2024-11-29,19.6,58.4,4.59,DAP,Clay,Harvesting,41.58,5
2024-11-29,20.5,48.4,2.03,Potash,Silty,Germination,17.05,3
2024-11-29,23.5,65.2,2.42,Urea,Loamy,Vegetative,42.64,4
2024-11-29,30.0,52.9,1.06,Urea,Clay,Germination,5.85,3
2024-11-29,35.5,67.0,1.94,DAP,loamy,Fruiting,58.58,4
2024-11-29,32.7,56.8,3.72,Urea,Sandy,Vegetative,67.95,2
2024-11-30,33.8,46.1,0.98,Organic Compost,Sandy,Fruiting,29.54,3
2024-11-30,23.2,68.8,0.57,NPK 15-15-15,Clay,Germination,5.2,2
2024-11-30,33.7,77.2,3.49,Organic Compost,Sandy,Flowering,86.02,5
2024-11-30,20.6,46.2,1.55,DAP,Silty,Flowering,42.09,2
2024-11-30,20.8,50.0,1.1,Potash,loamy,Harvesting,12.48,5
2024-11-30,32.4,58.8,4.6,Urea,Clay,Germination,33.5,3
2024-11-30,20.5,59.9,4.94,Potash,Sandy,Vegetative,90.68,1
2024-11-30,20.1,45.8,3.53,Urea,Clay,Flowering,87.21,2
2024-12-01,25.6,74.3,0.74,Urea,Silty,Fruiting,19.07,1
2024-12-01,29.9,66.7,2.45,Organic Compost,Loamy,Germination,16.95,1
2024-12-01,32.1,81.4,1.19,NPK 15-15-15,Clay,Flowering,27.66,2
2024-12-01,35.0,82.7,1.87,NPK 15-15-15,loamy,Harvesting,15.78,5
2024-12-01,32.8,,2.74,Urea,Clay,Flowering,67.58,5
2024-12-01,31.1,81.6,4.62,Urea,Silty,Flowering,118.11,2
2024-12-01,35.2,48.1,1.9,DAP,Silty,Vegetative,34.79,4
2024-12-01,35.7,45.6,0.73,NPK 15-15-15,Silty,Flowering,20.12,5
2024-12-02,19.5,62.2,2.05,DAP,loamy,Flowering,53.28,4
2024-12-02,25.3,84.3,2.25,Urea,Silty,Flowering,55.28,4
2024-12-02,25.1,63.5,3.45,Urea,Clay,Fruiting,99.26,5
2024-12-02,31.3,80.2,1.01,Organic Compost,Clay,Flowering,24.15,4
